id,nombre,semestre,promedio,ingresos,opinion_campus,trabaja,distancia_universidad,edad,tipo_vivienda,horas_estudio,desertor
IDHFI3552,Caridad Leonor Padrón Cavazos,7,86,13580.0,10,False,,21,Propia,29,0
IDVOH5097,Aurelio Fabiola Anguiano,4,89,15993.0,4,True,1.0,22,Alquiler,5,0
IDFYS5079,Omar Amalia Sepúlveda,8,89,11008.0,4,False,1.0,18,Propia,11,0
IDSCE4123,Pamela Aida Cuellar Valverde,5,62,30926.0,10,False,1.0,17,Propia,12,0
IDYMU9480,Óscar Olivárez Nájera,7,66,24968.0,10,False,1.0,26,Alquiler,17,0
IDRQY3989,Jerónimo Karina Miramontes Gracia,10,68,21569.0,10,True,3.0,23,Alquiler,6,0
IDWAP7636,Itzel Lozano Balderas,3,100,,10,False,1.0,23,Propia,20,0
IDQMA4077,Serafín Barbara Razo Maestas,7,72,26830.0,5,True,5.0,24,Alquiler,25,0
IDNRZ5909,Lic. David Treviño,8,74,,10,False,13.0,19,Propia,6,0
IDCTX5962,Magdalena Irizarry Munguía,5,64,25802.0,10,True,8.0,18,Propia,15,0
IDACZ1808,Dr. Espartaco Jasso,4,88,17117.0,5,True,5.0,18,Alquiler,17,1
IDEBO1235,Luis Núñez Carbajal,8,94,32026.0,10,False,3.0,19,Propia,22,0
IDYZZ2844,Silvia Curiel Saldivar,8,86,,3,False,2.0,17,Alquiler,3,1
IDYWO0409,Dr. Dalia Valadez,3,86,,10,False,10.0,23,Alquiler,19,0
IDPLQ7260,Esparta Gaona Mojica,6,67,11396.0,10,False,11.0,17,Alquiler,23,1
IDLOU3077,Modesto Arcelia Raya Camarillo,5,91,20696.0,10,False,1.0,19,Alquiler,2,0
IDUCG2507,Hernán Catalina Granado Galván,2,79,20447.0,10,False,5.0,20,Propia,9,0
IDSBO7449,Laura Olivárez Limón,8,69,8300.0,10,False,7.0,18,Alquiler,9,0
IDBME8042,Inés Cristian Godoy,6,72,30188.0,5,False,3.0,24,Alquiler,7,0
IDKHF6199,Gerónimo Abrego,2,88,,10,False,1.0,17,Alquiler,25,1
IDAVS3114,Catalina Serrato,5,94,,10,False,4.0,23,Propia,16,0
IDWXP6394,Ing. Gabriela Lara,1,67,22917.0,1,False,,20,Alquiler,27,1
IDCVB3903,Javier Estela Maestas Vega,10,88,14773.0,3,False,6.0,21,Propia,6,0
IDCLX8189,Hugo Genaro Tijerina,6,90,23647.0,10,False,7.0,20,Propia,9,0
IDEVH2312,Bianca Rosales Rivas,9,100,,3,False,1.0,18,Propia,26,0
IDLGU9263,Andrea Barela,1,89,,8,False,5.0,18,Propia,13,1
IDLMZ0327,Citlali Rubio Carrillo,10,81,21835.0,1,True,2.0,28,Alquiler,2,1
IDDHI3568,Arturo Leonor Rojo Gaitán,3,80,8300.0,8,False,2.0,22,Alquiler,14,0
IDDVS9147,Alta  Gracia Alemán,7,71,24697.0,7,False,1.0,20,Propia,5,0
IDIAW4516,Rafaél Chávez,4,70,32310.0,10,True,7.0,17,Propia,11,0
IDZOR5918,Luis Manuel Benjamín Corral Escalante,9,61,12617.0,10,False,4.0,17,Alquiler,15,1
IDIQT6837,Tania Estela Rentería,3,100,8300.0,10,True,,20,Propia,6,0
IDMQK8364,Ing. José Luis Santillán,5,61,,7,False,5.0,21,Propia,28,0
IDJRH8587,Aurora Anel Castellanos Gómez,3,93,,6,True,6.0,21,Propia,6,0
IDVEQ1277,Alejandra Pichardo,7,62,,10,False,2.0,20,Alquiler,16,0
IDGBF2083,Julia Páez,5,75,19159.0,1,True,5.0,21,Propia,27,0
IDBQL4241,Uriel Nadia Salcedo,9,63,15924.0,4,False,1.0,17,Propia,20,1
IDUGX9782,Caridad Antonio Montañez Sáenz,7,82,10297.0,10,True,,17,Propia,29,0
IDBTE9356,Aldo Botello Valdivia,2,79,,10,False,7.0,20,Alquiler,4,1
IDEXA3947,Amador Guerrero,4,84,13491.0,5,False,1.0,21,Propia,5,0
IDEEJ7702,Jorge Luis Rolando Santillán,9,89,12035.0,6,False,1.0,17,Alquiler,6,0
IDWUI3417,Rebeca Alva,2,77,17166.0,10,False,1.0,19,Alquiler,28,0
IDGGB5389,Sr(a). Emilia Quintero,10,70,28726.0,10,False,1.0,24,Alquiler,13,0
IDSDP4634,Guillermo Téllez,9,88,,2,False,15.0,23,Alquiler,14,1
IDJJB7425,Ing. Zeferino Rael,10,76,24519.0,4,False,1.0,19,Propia,24,0
IDXUN5844,Raúl Serafín Haro Aguilera,5,85,14137.0,5,False,8.0,17,Propia,28,0
IDEZW3149,Ricardo Arguello de la Crúz,2,82,32054.0,7,False,5.0,17,Alquiler,13,0
IDRFB8398,Amador Olivárez,4,79,,4,False,,20,Propia,10,0
IDCYE2807,Linda Rojas Mena,7,61,10371.0,2,False,4.0,17,Propia,17,1
IDZPK0281,Evelio Lucas Contreras,8,83,30117.0,6,False,,34,Alquiler,24,0
IDVYN2591,Barbara Barela Valencia,3,90,16942.0,10,False,1.0,17,Alquiler,18,0
IDRWT2688,Irene Florencia Rendón,1,86,23590.0,10,True,6.0,21,Propia,27,0
IDPNW6807,Lorenzo David Zambrano Curiel,4,61,22973.0,10,True,1.0,28,Propia,7,0
IDLJK3362,Dr. Ramiro Serrato,2,73,21746.0,4,False,1.0,17,Propia,4,1
IDXQY7456,Flavio José Manuél Ordóñez Solís,8,63,18115.0,10,False,1.0,28,Propia,24,0
IDJXS9827,Isaac Mendoza Palacios,4,72,8300.0,5,False,1.0,18,Alquiler,22,0
IDWGZ3337,Lic. Olga Bétancourt,2,95,38826.0,6,False,3.0,23,Alquiler,21,0
IDXOJ7003,Virginia Mauro Sepúlveda González,6,94,12781.0,10,False,,19,Alquiler,16,0
IDREZ1277,Olga Cuellar,6,67,,10,True,5.0,18,Propia,10,0
IDYRJ5314,Ing. Elias Sevilla,10,61,18430.0,8,False,13.0,26,Alquiler,26,0
IDAYI7552,Sergio Sánchez Ibarra,4,65,12680.0,9,True,8.0,21,Propia,30,0
IDPQX8452,Jorge Luis Holguín Peralta,6,90,35751.0,10,False,,21,Alquiler,21,0
IDZUY2945,Mtro. Timoteo de León,2,69,,8,False,9.0,25,Propia,20,0
IDLRG6594,Cristian Javier Garica,10,80,20020.0,10,True,4.0,22,Propia,30,0
IDLRV5938,Barbara Ángel Ureña,2,69,,10,False,2.0,17,Alquiler,19,0
IDEJX2692,Porfirio Aurora Gutiérrez Zaragoza,10,82,20445.0,10,False,1.0,21,Alquiler,3,1
IDPNW3669,Dr. Jesús Corral,4,62,,2,False,3.0,17,Propia,30,1
IDMUZ8743,Lic. Elvia Godoy,8,91,26707.0,2,True,5.0,17,Propia,19,0
IDBTM5254,Araceli Campos,7,79,16167.0,10,False,1.0,17,Alquiler,23,0
IDVWU8774,Eduardo Emilia Roque,9,69,19527.0,7,True,12.0,23,Propia,24,0
IDLXH8759,Jesús Hermelinda Estrada,8,88,18172.0,10,False,5.0,26,Propia,13,0
IDWML9259,Sr(a). Perla Jaime,5,100,15834.0,4,False,1.0,26,Propia,8,1
IDNQH2344,José Carlos Diana Samaniego Carvajal,2,93,,10,False,1.0,19,Alquiler,18,0
IDVVP1875,Yuridia Garay,5,96,19290.0,10,False,10.0,20,Propia,30,0
IDKAX2305,César Fajardo,8,79,,5,False,10.0,23,Propia,19,0
IDNMN4240,Ana Citlali Vigil Ceja,10,67,8300.0,1,False,,17,Propia,18,1
IDPDD8548,José Emilio Marcela Villareal,9,66,27694.0,8,True,1.0,21,Alquiler,22,0
IDWJE9546,Teresa Beltrán,9,65,12387.0,7,True,,17,Alquiler,27,0
IDHYH0825,Ofelia Sepúlveda,1,70,12068.0,10,False,1.0,17,Alquiler,19,0
IDXLC9272,Óscar Menéndez,9,77,,6,True,,18,Propia,22,0
IDRBM8519,María Luisa Bermúdez,7,88,26566.0,10,False,,30,Propia,4,0
IDJXB3061,Socorro Solorio,9,84,25252.0,10,False,13.0,24,Propia,13,1
IDVRA2778,Ing. Adriana Hernández,8,80,8300.0,8,False,5.0,27,Propia,12,0
IDRTK5621,Rubén Ofelia Ceballos Ybarra,1,62,18751.0,9,False,1.0,17,Propia,15,1
IDMBL9236,Samuel Marroquín Segura,8,77,21296.0,6,False,2.0,19,Propia,26,0
IDMWG3072,Luz Aurora Cavazos,8,83,,10,False,8.0,19,Alquiler,15,1
IDVHK3372,Natalia Salvador Cabrera Vázquez,3,97,12175.0,9,True,3.0,25,Propia,10,0
IDAWN2115,Ing. Berta Vigil,1,69,19517.0,5,False,1.0,20,Alquiler,22,0
IDIPU9038,Lucas Eloy Laboy Solorio,8,86,8300.0,10,False,1.0,22,Propia,29,0
IDPMP3451,José Carlos Humberto Núñez Gil,3,71,42511.0,5,True,,21,Propia,19,1
IDQGZ6301,Rubén Alonzo,3,66,,10,False,10.0,26,Alquiler,21,0
